theta_power,alpha_power,beta_power,theta_rel_power,alpha_rel_power,beta_rel_power,alpha_beta_ratio,beta_alpha_ratio,theta_beta_ratio,dataset,subject,condition,segment_id,sfreq,source_file,mat_variable
5.2106547747383445,93.16288222260748,12.47005042551454,0.03752444314386458,0.4771488782576119,0.08173585262802828,7.470930673382254,0.13385213217983016,0.41785354484826986,alpha_waves,subject_00,eyes_closed,subject_00_eyes_closed_0,512.0,/Users/anders/Library/CloudStorage/OneDrive-NTNU/Berkeley/2026Spring/NEU198/eeg-attention-analysis/data/alpha_waves/subject_00.mat,SIGNAL
5.48126863517368,78.10107601026027,11.413023835215444,0.06005607780148289,0.5238694933151868,0.10848894775306665,6.843153675826798,0.14613145449770693,0.48026436414339874,alpha_waves,subject_00,eyes_closed,subject_00_eyes_closed_1,512.0,/Users/anders/Library/CloudStorage/OneDrive-NTNU/Berkeley/2026Spring/NEU198/eeg-attention-analysis/data/alpha_waves/subject_00.mat,SIGNAL
5.817282418075184,73.19751637569429,11.969410621743329,0.048750680456543606,0.48074327938724415,0.09922773353813867,6.115381842003099,0.1635220867373266,0.48601243636066505,alpha_waves,subject_00,eyes_closed,subject_00_eyes_closed_2,512.0,/Users/anders/Library/CloudStorage/OneDrive-NTNU/Berkeley/2026Spring/NEU198/eeg-attention-analysis/data/alpha_waves/subject_00.mat,SIGNAL
7.008289843477048,85.62212357879292,11.847251844312375,0.05410267099623225,0.5368474958277183,0.09261332308772993,7.227171727584329,0.1383667135213006,0.5915540528363963,alpha_waves,subject_00,eyes_closed,subject_00_eyes_closed_3,512.0,/Users/anders/Library/CloudStorage/OneDrive-NTNU/Berkeley/2026Spring/NEU198/eeg-attention-analysis/data/alpha_waves/subject_00.mat,SIGNAL
8.289877480932134,96.26797526373407,11.174994445802302,0.05153837835370241,0.4788294020901816,0.06982152417926474,8.614588197839051,0.11608215935971818,0.741823856927763,alpha_waves,subject_00,eyes_closed,subject_00_eyes_closed_4,512.0,/Users/anders/Library/CloudStorage/OneDrive-NTNU/Berkeley/2026Spring/NEU198/eeg-attention-analysis/data/alpha_waves/subject_00.mat,SIGNAL
4.577755611384848,10.102540511050817,9.92733663610721,0.09037085417614127,0.21316357723850823,0.2127403536714597,1.0176486283647668,0.982657443961453,0.4611262596590514,alpha_waves,subject_00,eyes_open,subject_00_eyes_open_0,512.0,/Users/anders/Library/CloudStorage/OneDrive-NTNU/Berkeley/2026Spring/NEU198/eeg-attention-analysis/data/alpha_waves/subject_00.mat,SIGNAL
5.179929782942956,9.555488354683204,9.150488641043868,0.0882276840846566,0.18695038654726437,0.18112308495849488,1.0442599001567736,0.9576160109659072,0.5660823138677188,alpha_waves,subject_00,eyes_open,subject_00_eyes_open_1,512.0,/Users/anders/Library/CloudStorage/OneDrive-NTNU/Berkeley/2026Spring/NEU198/eeg-attention-analysis/data/alpha_waves/subject_00.mat,SIGNAL
5.514374901860639,17.73709385886536,8.739407813546457,0.07947413787466441,0.27707956068602435,0.14770782041676916,2.029553287508803,0.49271926297992896,0.6309780959428956,alpha_waves,subject_00,eyes_open,subject_00_eyes_open_2,512.0,/Users/anders/Library/CloudStorage/OneDrive-NTNU/Berkeley/2026Spring/NEU198/eeg-attention-analysis/data/alpha_waves/subject_00.mat,SIGNAL
5.696569793722691,19.01761398246061,9.301833190263997,0.06637318922649096,0.28257112308542054,0.1337561454631186,2.044501722774801,0.4891167314071217,0.612413669134009,alpha_waves,subject_00,eyes_open,subject_00_eyes_open_3,512.0,/Users/anders/Library/CloudStorage/OneDrive-NTNU/Berkeley/2026Spring/NEU198/eeg-attention-analysis/data/alpha_waves/subject_00.mat,SIGNAL
4.162905028411461,17.9223225939477,9.371546124662892,0.08177301646009355,0.3126538696857564,0.18451081627798185,1.9124189707373904,0.5228979712611079,0.44420685477453836,alpha_waves,subject_00,eyes_open,subject_00_eyes_open_4,512.0,/Users/anders/Library/CloudStorage/OneDrive-NTNU/Berkeley/2026Spring/NEU198/eeg-attention-analysis/data/alpha_waves/subject_00.mat,SIGNAL
